Frame: 1.0, Anomaly Score: 0.1583, People Count: 24
Frame: 2.0, Anomaly Score: 0.1589, People Count: 20
Frame: 3.0, Anomaly Score: 0.1590, People Count: 20
Frame: 4.0, Anomaly Score: 0.1590, People Count: 20
Frame: 5.0, Anomaly Score: 0.1578, People Count: 21
Frame: 6.0, Anomaly Score: 0.1569, People Count: 24
Frame: 7.0, Anomaly Score: 0.1557, People Count: 23
Frame: 8.0, Anomaly Score: 0.1562, People Count: 21
Frame: 9.0, Anomaly Score: 0.1567, People Count: 21
Frame: 10.0, Anomaly Score: 0.1583, People Count: 21
Frame: 11.0, Anomaly Score: 0.1587, People Count: 23
Frame: 12.0, Anomaly Score: 0.1593, People Count: 23
Frame: 13.0, Anomaly Score: 0.1586, People Count: 27
Frame: 14.0, Anomaly Score: 0.1578, People Count: 24
Frame: 15.0, Anomaly Score: 0.1572, People Count: 25
Frame: 16.0, Anomaly Score: 0.1564, People Count: 24
Frame: 17.0, Anomaly Score: 0.1567, People Count: 25
Frame: 18.0, Anomaly Score: 0.1554, People Count: 26
Frame: 19.0, Anomaly Score: 0.1546, People Count: 19
Frame: 20.0, Anomaly Score: 0.1531, People Count: 22
Frame: 21.0, Anomaly Score: 0.1535, People Count: 22
Frame: 22.0, Anomaly Score: 0.1538, People Count: 22
Frame: 23.0, Anomaly Score: 0.1552, People Count: 19
Frame: 24.0, Anomaly Score: 0.1557, People Count: 21
Frame: 25.0, Anomaly Score: 0.1573, People Count: 23
Frame: 26.0, Anomaly Score: 0.1573, People Count: 23
Frame: 27.0, Anomaly Score: 0.1574, People Count: 20
Frame: 28.0, Anomaly Score: 0.1563, People Count: 17
Frame: 29.0, Anomaly Score: 0.1570, People Count: 18
Frame: 30.0, Anomaly Score: 0.1569, People Count: 18
Frame: 31.0, Anomaly Score: 0.1565, People Count: 17
Frame: 32.0, Anomaly Score: 0.1554, People Count: 19
Frame: 33.0, Anomaly Score: 0.1561, People Count: 22
Frame: 34.0, Anomaly Score: 0.1560, People Count: 21
Frame: 35.0, Anomaly Score: 0.1568, People Count: 21
Frame: 36.0, Anomaly Score: 0.1565, People Count: 22
